GeneID	GeneName	Symbol	Chr	Start	End	Strand	GeneBiotype
AT1G04137	AT1G04137		Chr1	559735	560251	+	long_noncoding_rna
AT1G02630	AT1G02630		Chr1	560610	562598	-	protein_coding
AT1G02640	AT1G02640	BXL2	Chr1	564018	567771	+	protein_coding
AT1G02650	AT1G02650		Chr1	568558	570554	+	protein_coding
AT1G02660	AT1G02660		Chr1	571826	575085	-	protein_coding
AT1G02670	AT1G02670		Chr1	575922	580532	+	protein_coding
AT1G02680	AT1G02680	TAF13	Chr1	580625	582310	+	protein_coding
AT1G02681	AT1G02681		Chr1	582364	582985	+	pseudogene
AT1G04143	AT1G04143		Chr1	583471	583860	-	long_noncoding_rna
AT1G02690	AT1G02690	IMPA-6	Chr1	584134	587327	+	protein_coding
AT1G02700	AT1G02700		Chr1	588003	589480	+	protein_coding
AT1G02705	AT1G02705		Chr1	589584	590406	+	protein_coding
AT1G02710	AT1G02710		Chr1	589706	589996	-	protein_coding
AT1G02720	AT1G02720	GATL5	Chr1	591682	594264	+	protein_coding
AT1G02730	AT1G02730	CSLD5	Chr1	594502	598657	-	protein_coding
AT1G02740	AT1G02740		Chr1	599330	602199	-	protein_coding
AT1G02750	AT1G02750		Chr1	602489	604387	+	protein_coding
AT1G02760	AT1G02760		Chr1	604402	604474	+	pre_trna
AT1G02770	AT1G02770		Chr1	604873	606708	-	protein_coding
AT1G02780	AT1G02780	emb2386	Chr1	607799	609534	-	protein_coding
AT1G02790	AT1G02790	PGA4	Chr1	610363	612324	-	protein_coding
AT1G02800	AT1G02800	CEL2	Chr1	613197	616231	-	protein_coding
AT1G02810	AT1G02810		Chr1	618061	620502	+	protein_coding
AT1G02813	AT1G02813		Chr1	620678	621329	+	protein_coding
AT1G02816	AT1G02816		Chr1	621453	623054	+	protein_coding
AT1G02820	AT1G02820	LEA3	Chr1	623656	624567	-	protein_coding
AT1G02830	AT1G02830		Chr1	625084	625608	-	protein_coding
AT1G02840	AT1G02840	SR34	Chr1	626639	629993	+	protein_coding
AT1G02850	AT1G02850	BGLU11	Chr1	630374	633420	+	protein_coding
AT1G02860	AT1G02860	NLA	Chr1	635144	637262	+	protein_coding
AT1G04147	AT1G04147		Chr1	636337	636614	-	antisense_long_noncoding_rna
AT1G02870	AT1G02870		Chr1	637214	638681	-	protein_coding
AT1G04153	AT1G04153		Chr1	637772	638231	+	antisense_long_noncoding_rna
AT1G08815	AT1G08815		Chr1	641542	642317	+	novel_transcribed_region
AT1G02880	AT1G02880	TPK1	Chr1	642505	644903	-	protein_coding
AT1G02890	AT1G02890		Chr1	645084	652001	-	protein_coding
AT1G02900	AT1G02900	RALF1	Chr1	653604	654457	-	protein_coding
AT1G02910	AT1G02910	LPA1	Chr1	655568	658216	-	protein_coding
AT1G02920	AT1G02920	GSTF7	Chr1	658578	659980	-	protein_coding
AT1G02930	AT1G02930	GSTF6	Chr1	661088	662475	-	protein_coding
AT1G02940	AT1G02940	GSTF5	Chr1	662963	664290	-	protein_coding
AT1G02950	AT1G02950	GSTF4	Chr1	665119	666471	-	protein_coding
AT1G02952	AT1G02952		Chr1	665354	666367	+	antisense_long_noncoding_rna
AT1G02960	AT1G02960		Chr1	666807	669919	-	protein_coding
AT1G02965	AT1G02965		Chr1	671661	672814	-	protein_coding
AT1G02970	AT1G02970	WEE1	Chr1	673306	676419	+	protein_coding
AT1G02980	AT1G02980	CUL2	Chr1	677360	681378	+	protein_coding
AT1G02990	AT1G02990		Chr1	681331	687385	-	protein_coding
AT1G03000	AT1G03000	PEX6	Chr1	687795	692660	-	protein_coding
AT1G03010	AT1G03010		Chr1	693190	696504	+	protein_coding
AT1G03020	AT1G03020		Chr1	697919	698591	-	protein_coding
AT1G03030	AT1G03030		Chr1	701365	703929	+	protein_coding
AT1G03040	AT1G03040		Chr1	703847	706689	-	protein_coding
AT1G03050	AT1G03050		Chr1	707485	710041	+	protein_coding
AT1G03055	AT1G03055	D27	Chr1	710018	711857	-	protein_coding
AT1G03060	AT1G03060	SPI	Chr1	712440	727553	-	protein_coding
AT1G03070	AT1G03070		Chr1	729830	731565	+	protein_coding
AT1G03080	AT1G03080	NET1D	Chr1	731554	738306	-	protein_coding
AT1G03090	AT1G03090	MCCA	Chr1	739544	744184	+	protein_coding
AT1G04157	AT1G04157		Chr1	742298	742522	-	antisense_long_noncoding_rna
AT1G03100	AT1G03100		Chr1	743885	746701	-	protein_coding
AT1G04163	AT1G04163		Chr1	744724	746147	+	antisense_long_noncoding_rna
AT1G03103	AT1G03103		Chr1	747197	748057	+	protein_coding
AT1G03106	AT1G03106		Chr1	748101	749034	-	protein_coding
AT1G03110	AT1G03110	TRM82	Chr1	749246	751976	+	protein_coding
AT1G03120	AT1G03120	RAB28	Chr1	752191	753140	+	protein_coding
AT1G03130	AT1G03130	PSAD-2	Chr1	753307	754262	-	protein_coding
AT1G03140	AT1G03140		Chr1	754261	756303	-	protein_coding
AT1G03150	AT1G03150		Chr1	756414	758678	+	protein_coding
AT1G04167	AT1G04167		Chr1	760884	761099	-	long_noncoding_rna
AT1G03160	AT1G03160	FZL	Chr1	761261	766194	+	protein_coding
AT1G03165	AT1G03165		Chr1	766336	767324	+	protein_coding
AT1G04173	AT1G04173		Chr1	767037	767385	-	long_noncoding_rna
AT1G03170	AT1G03170	FAF2	Chr1	768376	770684	+	protein_coding
AT1G03180	AT1G03180		Chr1	773358	775362	+	protein_coding
AT1G03190	AT1G03190	UVH6	Chr1	775527	780062	+	protein_coding
AT1G04177	AT1G04177		Chr1	780107	780409	+	long_noncoding_rna
AT1G03200	AT1G03200		Chr1	780519	782946	+	protein_coding
AT1G03210	AT1G03210		Chr1	782904	784346	+	protein_coding
AT1G03220	AT1G03220		Chr1	786832	788722	+	protein_coding
AT1G03230	AT1G03230		Chr1	789820	791689	+	protein_coding
AT1G03240	AT1G03240		Chr1	792222	793060	-	protein_coding
AT1G03250	AT1G03250		Chr1	793315	795403	-	protein_coding
AT1G03260	AT1G03260		Chr1	795449	798491	-	protein_coding
AT1G03270	AT1G03270		Chr1	799115	802625	+	protein_coding
AT1G03280	AT1G03280		Chr1	802970	807066	+	protein_coding
AT1G03290	AT1G03290		Chr1	807361	813216	+	protein_coding
AT1G03300	AT1G03300	ATDUF1	Chr1	811033	813086	-	protein_coding
AT1G03310	AT1G03310	DBE1	Chr1	813413	816812	+	protein_coding
AT1G03320	AT1G03320		Chr1	816989	817767	+	protein_coding
AT1G03325	AT1G03325		Chr1	817053	817178	-	protein_coding
AT1G03330	AT1G03330	LSM2	Chr1	817934	819563	-	protein_coding
AT1G03340	AT1G03340		Chr1	819612	821476	+	protein_coding
AT1G03350	AT1G03350		Chr1	822582	824410	-	protein_coding
AT1G03360	AT1G03360	RRP4	Chr1	824517	826399	+	protein_coding
AT1G03365	AT1G03365		Chr1	826523	830393	+	protein_coding
AT1G03370	AT1G03370		Chr1	830550	835411	+	protein_coding
AT1G03380	AT1G03380	ATG18G	Chr1	835767	841373	+	protein_coding
AT1G03390	AT1G03390		Chr1	841033	842418	-	protein_coding
AT1G03395	AT1G03395		Chr1	841677	842158	+	protein_coding
AT1G03400	AT1G03400		Chr1	842659	844251	-	protein_coding
AT1G03410	AT1G03410	2A6	Chr1	844436	847683	-	protein_coding
AT1G04183	AT1G04183		Chr1	845677	847683	+	antisense_long_noncoding_rna
AT1G03420	AT1G03420	Sadhu4-2	Chr1	846664	847739	+	transposable_element_gene
AT1G03430	AT1G03430	AHP5	Chr1	847793	849621	+	protein_coding
AT1G03440	AT1G03440		Chr1	852151	854297	+	protein_coding
AT1G03445	AT1G03445	BSU1	Chr1	854410	859701	-	protein_coding
AT1G03457	AT1G03457		Chr1	860761	864372	-	protein_coding
AT1G03470	AT1G03470	NET3A	Chr1	865895	867733	-	protein_coding
AT1G03475	AT1G03475	LIN2	Chr1	868853	871308	-	protein_coding
AT1G03490	AT1G03490	NAC006	Chr1	871874	872906	+	protein_coding
AT1G03495	AT1G03495		Chr1	873166	874476	+	protein_coding
AT1G04187	AT1G04187		Chr1	875056	875189	-	small_nucleolar_rna
AT1G04193	AT1G04193		Chr1	875224	875340	-	small_nucleolar_rna
AT1G03502	AT1G03502		Chr1	875358	875471	-	small_nucleolar_rna
AT1G03506	AT1G03506		Chr1	875518	875604	-	small_nucleolar_rna
AT1G04197	AT1G04197		Chr1	875679	875823	-	small_nucleolar_rna
AT1G03510	AT1G03510		Chr1	876087	877556	-	protein_coding
AT1G03515	AT1G03515		Chr1	877648	877719	+	pre_trna
AT1G03520	AT1G03520		Chr1	877861	880259	-	protein_coding
AT1G03530	AT1G03530	NAF1	Chr1	880384	883599	-	protein_coding
AT1G03540	AT1G03540		Chr1	883683	885611	+	protein_coding
AT1G03550	AT1G03550	SCAMP4	Chr1	885623	887956	-	protein_coding
AT1G03545	AT1G03545		Chr1	885941	887972	+	antisense_long_noncoding_rna
AT1G08825	AT1G08825		Chr1	889095	890027	-	novel_transcribed_region
AT1G03560	AT1G03560		Chr1	890155	892492	-	protein_coding
AT1G03570	AT1G03570		Chr1	892514	892585	+	pre_trna
AT1G03580	AT1G03580		Chr1	892885	894194	+	pseudogene
AT1G03590	AT1G03590		Chr1	894238	897718	-	protein_coding
AT1G03600	AT1G03600	PSB27	Chr1	898480	899794	+	protein_coding
AT1G03610	AT1G03610		Chr1	900732	903070	+	protein_coding
AT1G03620	AT1G03620		Chr1	904032	907643	-	protein_coding
AT1G03630	AT1G03630	POR C	Chr1	907523	909650	+	protein_coding
AT1G03640	AT1G03640		Chr1	909811	909883	-	pre_trna
AT1G03650	AT1G03650		Chr1	910023	911292	-	protein_coding
AT1G03660	AT1G03660		Chr1	911310	913808	-	protein_coding
AT1G04203	AT1G04203		Chr1	913390	913595	+	long_noncoding_rna
AT1G03670	AT1G03670		Chr1	914222	916222	-	protein_coding
AT1G03680	AT1G03680	THM1	Chr1	916772	918064	-	protein_coding
AT1G03687	AT1G03687		Chr1	918285	920592	+	protein_coding
AT1G03700	AT1G03700		Chr1	920950	922098	+	protein_coding
AT1G03710	AT1G03710		Chr1	923390	924730	+	protein_coding
AT1G03720	AT1G03720		Chr1	924896	926373	-	protein_coding
AT1G04207	AT1G04207		Chr1	926989	927200	-	long_noncoding_rna
AT1G03730	AT1G03730		Chr1	930715	931985	-	protein_coding
AT1G03740	AT1G03740		Chr1	933426	937152	+	protein_coding
AT1G04213	AT1G04213		Chr1	937032	937141	-	small_nucleolar_rna
AT1G03743	AT1G03743		Chr1	937207	937287	-	small_nucleolar_rna
AT1G03746	AT1G03746		Chr1	937401	937485	-	small_nucleolar_rna
AT1G03750	AT1G03750	SWI2	Chr1	937826	941162	+	protein_coding
AT1G03760	AT1G03760		Chr1	941062	943377	-	protein_coding
AT1G03770	AT1G03770	RING1B	Chr1	944572	947682	+	protein_coding
AT1G03780	AT1G03780	TPX2	Chr1	947520	951850	-	protein_coding
AT1G03790	AT1G03790	SOM	Chr1	954290	956144	+	protein_coding
AT1G03800	AT1G03800	ERF10	Chr1	957104	958383	-	protein_coding
AT1G03810	AT1G03810		Chr1	958759	959609	+	protein_coding
AT1G03820	AT1G03820		Chr1	959790	960916	-	protein_coding
AT1G03830	AT1G03830		Chr1	961684	966790	-	protein_coding
AT1G03840	AT1G03840	MGP	Chr1	967470	970334	-	protein_coding
AT1G03850	AT1G03850	GRXS13	Chr1	975871	977911	-	protein_coding
AT1G03860	AT1G03860	PHB2	Chr1	979307	982002	-	protein_coding
AT1G03870	AT1G03870	FLA9	Chr1	982381	983544	-	protein_coding
AT1G03880	AT1G03880	CRU2	Chr1	985751	988146	+	protein_coding
AT1G03890	AT1G03890		Chr1	989198	991020	+	protein_coding
AT1G03900	AT1G03900	ABCI18	Chr1	991106	993126	+	protein_coding
AT1G03905	AT1G03905	ABCI19	Chr1	993400	995989	+	protein_coding
AT1G03910	AT1G03910		Chr1	996076	1000629	+	protein_coding
AT1G03920	AT1G03920		Chr1	1001116	1004410	+	protein_coding
AT1G03930	AT1G03930	ADK1	Chr1	1004688	1008370	+	protein_coding
AT1G04217	AT1G04217		Chr1	1008592	1008735	+	small_nucleolar_rna
AT1G03935	AT1G03935		Chr1	1008810	1008896	+	small_nucleolar_rna
AT1G04223	AT1G04223		Chr1	1009073	1009189	+	small_nucleolar_rna
AT1G03940	AT1G03940		Chr1	1009228	1011145	-	protein_coding
